anc.full,year,voters,ballots,duplicitous,turnout
1A,2012,18174,10209,3,0.561736546715087
1A,2014,18046,6474,3,0.358749861465145
1A,2016,18606,11624,3,0.624744706008814
1A,2018,19391,8793,3,0.453457789696251
1B,2012,18219,10836,2,0.594763708216697
1B,2014,18508,6847,2,0.369948130538146
1B,2016,19855,13192,2,0.664417023419793
1B,2018,21054,9577,2,0.454877932934359
1C,2012,14568,9079,0,0.623215266337177
1C,2014,13420,5908,0,0.440238450074516
1C,2016,13894,10314,0,0.742334820785951
1C,2018,14615,8015,0,0.548409168662333
1D,2012,8491,4923,1,0.579790366270168
1D,2014,8496,3387,1,0.398658192090395
1D,2016,8528,5503,1,0.645286116322702
1D,2018,8458,4251,1,0.502601087727595
2A,2012,7507,5011,2,0.667510323697882
2A,2014,7930,2774,2,0.349810844892812
2A,2016,9014,5752,2,0.638118482360772
2A,2018,9481,3791,2,0.39985233625145
2B,2012,19116,11779,4,0.616185394433982
2B,2014,18026,7124,4,0.395206923332963
2B,2016,18439,13260,4,0.719127935354412
2B,2018,19083,9467,4,0.496096001676885
2C,2012,4001,2425,2,0.606098475381155
2C,2014,3867,1344,2,0.34755624515128
2C,2016,4028,2685,2,0.666583912611718
2C,2018,4241,1949,2,0.459561424192407
2D,2012,2473,1626,1,0.657501010917913
2D,2014,2400,1069,1,0.445416666666667
2D,2016,2270,1706,1,0.751541850220264
2D,2018,2349,1209,1,0.514687100893997
2E,2012,9273,5122,0,0.552356303245983
2E,2014,8138,2839,0,0.348857213074465
2E,2016,8153,5436,0,0.666748436158469
2E,2018,8213,3484,0,0.424205527821746
2F,2012,6525,3923,3,0.601226053639847
2F,2014,6182,2438,3,0.394370753801359
2F,2016,6274,4458,3,0.710551482307938
2F,2018,6405,3159,3,0.493208430913349
3B,2012,7796,4883,3,0.626346844535659
3B,2014,7450,2863,3,0.384295302013423
3B,2016,7626,5259,3,0.689614476789929
3B,2018,7681,3742,3,0.48717614893894
3C,2012,15323,10002,6,0.652744240683939
3C,2014,14292,6465,6,0.452350965575147
3C,2016,14698,11094,6,0.754796570962036
3C,2018,14986,8608,6,0.574402775924196
3D,2012,11263,7794,2,0.692000355145166
3D,2014,11052,5126,2,0.463807455664133
3D,2016,11579,8567,2,0.739873909664047
3D,2018,11868,5936,2,0.500168520390967
3E,2012,8464,5935,3,0.701205103969754
3E,2014,7974,4397,3,0.551417105593178
3E,2016,8160,6335,3,0.776348039215686
3E,2018,8325,4940,3,0.593393393393393
3F,2012,11505,7395,5,0.642764015645372
3F,2014,10506,5007,5,0.476584808680754
3F,2016,10757,8283,5,0.770010225899414
3F,2018,10945,6465,5,0.590680676107812
3G,2012,4503,3043,2,0.675771707750389
3G,2014,4173,2195,2,0.526000479271507
3G,2016,4236,3257,2,0.768885741265345
3G,2018,4445,2620,2,0.589426321709786
4A,2012,15633,9640,3,0.616644278129598
4A,2014,14564,6519,3,0.447610546553145
4A,2016,15047,10056,3,0.66830597461288
4A,2018,15297,7689,3,0.502647577956462
4B,2012,17221,10650,2,0.618430985424772
4B,2014,15958,7142,2,0.447549818272967
4B,2016,16798,11134,2,0.66281700202405
4B,2018,17327,8722,2,0.503376233623824
4C,2012,14197,8340,5,0.587448052405438
4C,2014,13156,5579,5,0.424065065369413
4C,2016,13866,9026,5,0.650944756959469
4C,2018,14096,7087,5,0.502766742338252
4D,2012,10217,5935,4,0.580894587452285
4D,2014,9273,3593,4,0.387468996009921
4D,2016,9561,6030,4,0.630687166614371
4D,2018,9732,4549,4,0.467427044800658
4G,2012,NA,NA,0,NA
4G,2014,NA,NA,0,NA
4G,2016,NA,NA,0,NA
4G,2018,NA,NA,0,NA
5A,2012,12673,7831,3,0.61792787816618
5A,2014,11712,4918,3,0.419911202185792
5A,2016,11654,7689,3,0.659773468337052
5A,2018,12299,6049,3,0.491828603951541
5B,2012,9190,5737,5,0.624265505984766
5B,2014,8429,3832,5,0.454620951477044
5B,2016,8488,5735,5,0.675659754948162
5B,2018,8946,4636,5,0.518220433713391
5C,2012,16189,9441,4,0.583173759960467
5C,2014,15144,5354,4,0.353539355520338
5C,2016,15481,9505,4,0.613978425166333
5C,2018,16578,7122,4,0.429605501266739
5D,2012,7936,4333,2,0.545992943548387
5D,2014,7519,2089,2,0.277829498603538
5D,2016,7970,4700,2,0.589711417816813
5D,2018,8698,3408,2,0.391814210163256
5E,2012,18598,10819,2,0.581729218195505
5E,2014,18460,6794,2,0.368039003250271
5E,2016,20062,12473,2,0.62172265975476
5E,2018,21606,9556,2,0.4422845505878
6A,2012,15971,9804,2,0.613862626009642
6A,2014,15483,6368,2,0.411289801718013
6A,2016,15506,10522,2,0.678576035083194
6A,2018,15820,8122,2,0.513400758533502
6B,2012,19288,12230,3,0.634072998755703
6B,2014,18817,8362,3,0.444385396184301
6B,2016,18884,12887,3,0.682429570006355
6B,2018,19386,10118,3,0.521923037243372
6C,2012,12449,7868,5,0.632018636035023
6C,2014,12559,5429,5,0.432279640098734
6C,2016,14417,10064,5,0.698064784629257
6C,2018,15732,8238,5,0.523646071700992
6D,2012,12484,8361,1,0.669737263697533
6D,2014,12859,5561,1,0.432459755813049
6D,2016,14448,10261,1,0.710202104097453
6D,2018,17168,8906,1,0.518755824790308
6E,2012,10789,6330,1,0.586708684771527
6E,2014,11055,4067,1,0.367887833559475
6E,2016,12819,8176,1,0.637803260784773
6E,2018,13102,5871,1,0.448099526789803
7B,2012,14601,9184,2,0.628998013834669
7B,2014,13710,5311,2,0.387381473377097
7B,2016,13294,8380,2,0.630359560704077
7B,2018,13766,6189,2,0.449585936364957
7C,2012,11218,6730,3,0.599928686040292
7C,2014,11337,3117,3,0.27494046043927
7C,2016,10924,6272,3,0.574148663493226
7C,2018,11381,4227,3,0.371408487830595
7D,2012,11123,6931,6,0.623123258113818
7D,2014,11051,3403,6,0.307935933399692
7D,2016,10829,6488,6,0.599131960476498
7D,2018,11547,4632,6,0.401143154065991
7E,2012,10970,6564,2,0.598359161349134
7E,2014,11006,3299,2,0.299745593312738
7E,2016,10497,6234,2,0.593883966847671
7E,2018,11098,4233,2,0.381420075689313
7F,2012,11008,6838,5,0.621184593023256
7F,2014,11274,3068,5,0.27213056590385
7F,2016,10542,6068,5,0.575602352494783
7F,2018,10921,4042,5,0.370112627048805
8A,2012,11781,6845,3,0.58102028690264
8A,2014,10399,3080,3,0.296182325223579
8A,2016,11125,6043,3,0.543191011235955
8A,2018,11830,3958,3,0.334573119188504
8B,2012,13135,6730,3,0.512371526456033
8B,2014,11484,2740,3,0.238592824799721
8B,2016,12447,6241,3,0.501405961275809
8B,2018,13014,3769,3,0.289611187951437
8C,2012,10260,5764,6,0.561793372319688
8C,2014,8835,2515,6,0.284663271080928
8C,2016,9416,5064,6,0.537807986406117
8C,2018,9901,3359,6,0.339258660741339
8D,2012,11931,6693,3,0.560975609756098
8D,2014,10616,2620,3,0.246797287113791
8D,2016,11203,5848,3,0.522003034901366
8D,2018,11877,3636,3,0.306137913614549
8E,2012,11177,6489,4,0.580567236288807
8E,2014,10006,2653,4,0.26514091545073
8E,2016,11013,6031,4,0.547625533460456
8E,2018,11567,3817,4,0.329990490187603
